word,part_of_speech
insecurely,adverb
reassure,verb
reassurance,noun
insensitive,adjective
insensitively,adverb
profess,verb
drawback,noun
resort,verb
oversee,verb
overseer,noun
estimation,noun
commission,verb
liaison,noun
stressfully,adverb
loom,verb
notwithstanding,preposition
structurally,adverb
structural,adjective
chauffer,noun
sedentary,adjective
rapport,noun
landscape,verb
consultation,noun
consultancy,noun
bloom,verb
engineer,verb
retention,noun
quarry,noun
specification,noun
contract,verb
contractor,noun
query,verb
possessor,noun
chill,verb
chilly,adjective
frost,verb
frosty,adjective
frostily,adverb
man,verb
unmanned,adjective
impersonal,adjective
impersonally,adverb
impersonate,verb
impersonator,noun
impersonation,noun
buzzer,noun
desert,verb
desertion,noun
unoccupied,adjective
stuffy,adjective
stuffily,adverb
stuffiness,noun
gape,verb
repute,verb
toughness,noun
recall,noun
recollection,noun
plumbing,noun
usher,noun
glum,adjective
glumly,adverb
gamely,adverb
dissect,verb
dissection,noun
commend,verb
commendation,noun
thereby,adverb
flick,verb
flicker,noun
unenviable,adjective
unenviably,adverb
voice,verb
tread,noun
allege,verb
allegation,noun
bribe,verb
bribery,noun
inclusion,noun
inclusive,adjective
inclusively,adverb
unconvincing,adjective
unconvincingly,adverb
recharge,verb
facilitation,noun
condition,verb
conditional,adjective
conditionally,adverb
tone,verb
supple,adjective
manicure,noun
pedicure,noun
facial,adjective
bouquet,noun
refurbish,verb
refurbishment,noun
grounds,noun
ground,verb
lethargy,noun
lethargic,adjective
lethargically,adverb
stately,adjective
conserve,verb
conservatory,noun
disquieting,adjective
fiercely,adverb
grapefruit,noun
exotic,adjective
exotically,adverb
flask,noun
spacious,adjective
gourmet,adjective
rich,adjective
conjure,verb
creamy,adjective
sauna,noun
remedial,adjective
posture,noun
sedate,verb
sedately,adverb
clutch,verb
stagger,verb
staggering,adjective
dutiful,adjective
dutifully,adverb
calorie,noun
firm,verb
fabulously,adverb
premises,noun
eclectic,adjective
eclectically,adverb
revere,verb
harbor/harbour,verb
recognizable/recognisable,adjective
recognizably/recognisably,adverb
batter,verb
battery,noun
unreliably,adverb
waterfront,noun
amply,adverb
amplification,noun
battered,adjective
comply,verb
compliance,noun
compliant,adjective
compliantly,adverb
blankness,noun
exuberant,adjective
exuberance,noun
exuberantly,adverb
linear,adjective
linearly,adverb
flourish,noun
anchor,verb
anchored,adjective
domination,noun
dominant,adjective
dominantly,adverb
interject,verb
interjection,noun
gush,verb
gushing,adjective
gushingly,adverb
voracious,adjective
voraciously,adverb
sketchbook,noun
sketch,noun
prop,verb
imp,noun
impish,adjective
impishly,adverb
wicked,adjective
wickedly,adverb
macabre,adjective
gusto,noun
tantamount,adjective
antics,noun
relapse,verb
impede,verb
impediment,noun
taut,adjective
tautly,adverb
jersey,noun
startling,adjective
startlingly,adverb
slack,verb
slackly,adverb
unwavering,adjective
unwaveringly,adverb
removed,adjective
buffoon,noun
beguiling,adjective
beguilingly,adverb
blithely,adverb
stray,verb
mythological,adjective
mythology,noun
venerate,verb
veneration,noun
ethical,adjective
ethically,adverb
heroine,noun
refreshing,adjective
refresh,verb
zany,adjective
devotee,noun
salve,noun
salvation,noun
salvage,verb
staccato,adjective
verve,noun
motley,adjective
preach,verb
preacher,noun
behind,preposition
justly,adverb
wry,adjective
wryly,adverb
poetess,noun
confide,verb
sentient,adjective
sentiment,noun
sentimental,adjective
sentimentally,adverb
tangle,verb
tangled,adjective
untangle,verb
untangled,adjective
perceptive,adjective
perceptively,adverb
outset,noun
tycoon,noun
launch,noun
engross,verb
engrossing,adjective
plague,verb
orphan,verb
detritus,noun
detriment,noun
detrimental,adjective
detrimentally,adverb
domestically,adverb
domesticate,verb
domestication,noun
eccentrically,adverb
render,verb
rendering,noun
pathos,noun
tailor,noun
personalize/personalise,verb
personalization/personalisation,noun
personification,noun
limitless,adjective
apprentice,noun
apprenticeship,noun
precision,noun
perfect,verb
silhouette,noun
nondescript,adjective
signal,verb
negligible,adjective
negligent,adjective
negligently,adverb
principally,adverb
altruism,noun
altruistic,adjective
scenario,noun
voluntary,adjective
voluntarily,adverb
reap,verb
paternal,adjective
maternal,adjective
maternalistic,adjective
paternalistic,adjective
provisions,noun
injustice,noun
impoverished,adjective
unsustainable,adjective
unsustainably,adverb
sustainable,adjective
sustainably,adverb
bypass,verb
imperative,adjective
cynic,noun
cynical,adjective
cynically,adverb
cynicism,noun
sarcasm,noun
sarcastic,adjective
sarcastically,adverb
misplace,verb
symptomatic,adjective
degrade,verb
degrading,adjective
degradation,noun
discourse,noun
amid,preposition
hedgehog,noun
nocturnal,adjective
hibernate,verb
hibernation,noun
convict,verb
conviction,noun
latent,adjective
snooze,verb
classy,adjective
wrench,verb
reminisce,verb
reminiscent,adjective
intuit,verb
intuition,noun
intuitive,adjective
intuitively,adverb
marginal,adjective
marginally,adverb
crude,adjective
crudely,adverb
strap,noun
strapping,adjective
scoff,verb
fiddly,adjective
fiddler,noun
fiddle,verb
unmusical,adjective
unmusically,adverb
repertory,noun
concerto,noun
premier,adjective
fanatic,noun
fanatically,adverb
acoustically,adverb
acoustic,adjective
acoustics,noun
compromised,adjective
daunt,verb
daunting,adjective
realist,noun
realism,noun
recess,noun
recessive,adjective
prolific,adjective
prolifically,adverb
proliferate,verb
fragmentation,noun
campaign,verb
astray,adverb
duration,noun
durable,adjective
likelihood,noun
naive,adjective
naively,adverb
naivety,noun
impervious,adjective
ludicrous,adjective
ludicrously,adverb
cost-effective,adjective
gruesome,adjective
gruesomely,adverb
envisage,verb
screenwriter,noun
mingle,verb
churn,verb
buffer,verb
irate,adjective
irately,adverb
docile,adjective
docilely,adverb
fiend,noun
fiendish,adjective
fiendishly,adverb
transfix,verb
gypsy,noun
temperament,noun
temperamental,adjective
temperamentally,adverb
screenplay,noun
disillusionment,noun
demise,noun
raunchy,adjective
raunchily,adverb
overdraft,verb
synopsis,noun
renown,noun
contest,verb
contested,adjective
verandah,noun
occupational,adjective
verdict,noun
ventilate,verb
ventilation,noun
occupant,noun
radiator,noun
homely,adjective
bureaucratic,adjective
bureaucratically,adverb
adjustable,adjective
fatigue,noun
muscular,adjective
versatile,adjective
versatility,noun
stimuli,noun
uninspiring,adjective
mutually,adverb
somber/sombre,adjective
somberly/sombrely,adverb
clutter,noun
lodge,verb
dislodge,verb
carpenter,noun
carpentry,noun
transit,noun
plummet,verb
circulate,verb
circulation,noun
demography,noun
demographic,adjective
demographically,adverb
phenomenal,adjective
phenomenally,adverb
prophet,noun
prophetic,adjective
paywall,noun
firewall,noun
invoice,noun
demolition,noun
demo,noun
gig,noun
socialization,noun
antiquity,noun
antiquated,adjective
restoration,noun
restorative,adjective
rotate,verb
till,noun
coupled,adjective
itinerary,noun
charter,verb
terrain,noun
resilient,adjective
resilience,noun
enterprising,adjective
integral,adjective
canoe,noun
magnetic,adjective
magnetism,noun
magnetically,adverb
credible,adjective
credibly,adverb
credibility,noun
credential,noun
acutely,adverb
prohibitive,adjective
prohibitively,adverb
fissure,noun
pendulous,adjective
suspension,noun
aboard,preposition
drill,verb
anthropology,noun
anthropologist,noun
squander,verb
munch,verb
adjoin,verb
adjoining,adjective
wizened,adjective
graft,verb
orchard,noun
seedling,noun
tract,noun
folktale,noun
sprout,verb
hypocrisy,noun
hypocrite,noun
hypocritical,adjective
hypocritically,adverb
midwife,noun
harvest,verb
commercially,adverb
uniformity,noun
numb,adjective
tastebud,noun
amateur,noun
retrace,verb
chart,verb
insubordinate,adjective
insubordination,noun
insubordinately,adverb
subordinate,noun
primitively,adverb
embark,verb
expedite,verb
contextual,adjective
contextually,adverb
whilst,conjunction
maneuver/manoeuvre,verb
riveting,adjective
plunge,verb
debut,noun
turmoil,noun
scathing,adjective
unscathing,adjective
convoluted,adjective
undaunted,adjective
gutsy,adjective
deprivation,noun
farce,noun
portray,verb
portrayal,noun
elusive,adjective
elude,verb
incisor,noun
incision,noun
chisel,verb
chiselled,adjective
gnaw,verb
elongate,verb
telltale,adjective
cavity,noun
rustle,verb
glean,verb
niche,noun
somersault,noun
exhilarate,verb
exhilarating,adjective
exhilaration,noun
physicality,noun
hack,verb
lust,noun
unsettling,adjective
unsettle,verb
suburban,adjective
suburbia,noun
dramatist,noun
characterization/characterisation,noun
quirky,adjective
sprawl,noun
ingenuity,noun
panorama,noun
panoramic,adjective
benign,adjective
benignly,adverb
explosively,adverb
bequeath,verb
legacy,noun
synthetic,adjective
synthetically,adverb
lackluster/lacklustre,adjective
elastic,noun
appall/appal,verb
appalling,adjective
appallingly,adverb
pounce,verb
abound,verb
sap,noun
monotonous,adjective
monotonously,adverb
monotony,noun
turn to ,verb
ingenious,adjective
plaque,noun
neutralize/neutralise,verb
neutralization/neutralisation,noun
salivate,verb
cessation,noun
remorse,noun
remorseless,adjective
remorsefully,adverb
remorselessly,adverb
inexcusable,adjective
inexcusably,adverb
unassisted,adjective
heighten,verb
fixture,noun
bulk,noun
bulky,adjective
bulk up,verb
digitalize/digitalise,verb
digitalization/digitalisation,noun
mark-up,noun
complementary,adjective
complimentary,adjective
staple,noun
wares,noun
testament,noun
succulent,noun
succulently,adverb
tranquil,adjective
tranquility,noun
spartan,adjective
peninsula,noun
billiards,noun
exude,verb
headmistress,noun
mien,noun
timidity,noun
unravel,verb
concurrence,noun
unpromising,adjective
teem,verb
outpatient,noun
corpse,noun
constrained,adjective
indignant,adjective
indignantly,adverb
eccentricity,noun
locomotive,noun
locomotion,noun
individualism,noun
enthuse,verb
belligerent,adjective
belligerence,noun
stoicism,noun
deliberate,verb
recluse,noun
reclusive,adjective
metalled,adjective
oblique,adjective
facsimile,noun
shamble,verb
whir,verb
blight,noun
puritanical,adjective
brood,verb
disdainful,adjective
zoologist,noun
zoology,noun
encumbrance,noun
encumber,verb
hypothesis,noun
hypothesize,verb
hypothetical,adjective
parasitic,adjective
plumage,noun
utilitarian,adjective
utilize,verb
utility,noun
predilection,noun
commensurate,adjective
commensurately,adverb
vindicate,verb
vindication,noun
parable,noun
minster,verb
wrack,verb
ironic,adjective
ally,verb
callous,adjective
callously,adverb
derelict,adjective
materialism,noun
materialistic,adjective
ferocity,noun
utter,adjective
evokingly,adverb
recitation,noun
equable,adjective
extant,adjective
denounce,verb
denunciation,noun
echo,noun
requisition,noun
substantiate,verb
inscrutable,adjective
stratosphere,noun
indulge,verb
indulgence,noun
indulgently,adverb
laudatory,adjective
laud ,verb
glitz,noun
glitzy,adjective
automate,verb
apprehend,verb
athleticism,noun
acreage,noun
affectation,noun
imposition,noun
circuit,noun
stipulate,verb
stipulation,noun
allot,verb
allotment,noun
anticlimactically,adverb
forfeiture,noun
blitz,verb
primeval,adjective
tenacity,noun
tenacious,adjective
tenaciously,adverb
exact,verb
genomic,adjective
genomically,adverb
capacious,adjective
utilization/utilisation,noun
unequivocal,adjective
unequivocally,adverb
spontaneity,noun
provocation,noun
portraiture,noun
succeed,verb
circumnavigate,verb
circumnavigation,noun
liaise,verb
contractual,adjective
contractually,adverb
abject,adjective
sheaf,noun
articulation,noun
articulate,adjective
spurious,adjective
spuriously,adverb
calorific,adjective
fabulate,verb
fabulation,noun
octogenarian,noun
voracity,noun
brandish,verb
repose,verb
unencumbered,adjective
buffoonery,noun
gauche,adjective
domesticity,noun
accrue,verb
proliferation,noun
blandishment,noun
pluck,noun
anthropological,adjective
anthropologically,adverb
carbonize/carbonise,verb
monastic,adjective
midwifery,noun
adornment,noun
adorn,verb
idle,verb
conjecture,verb
malleable,adjective
malleability,noun
ore,noun
gale,noun
promenade,noun
testimonial,noun
distill,verb
distillation,noun
informant,noun
vis-a-vis,preposition
overlay,verb
nostalgia,noun
nostalgic,adjective
nostalgically,adverb
grievance,noun
residue,noun
residual,adjective
physiological,adjective
physiologically,adverb
familiarize/familiarise,verb
methodology,noun
methodological,adjective
methodologically,adverb
proportional,adjective
proportionally,adverb
habitation,noun
inartistic,adjective
ornate,adjective
modernism,noun
presuppose,verb
presupposition,noun
centralized/centralised,adjective
transmitter,noun
regulatory,adjective
archival,adjective
diffuse,adjective
egalitarian,adjective
hindsight,noun
materialize/materialise,verb
materialization/materialisation,noun
disperse,verb
dispersal,noun
adverse,adjective
adversely,adverb
stabilize/stabilise,verb
pervasive,adjective
pervasiveness,noun
secure,verb
autonomous,adjective
autonomously,adverb
outmoded,adjective
phase,noun
plum,adjective
notorious,adjective
notoriously,adverb
notoriety,noun
menial,adjective
insular,adjective
antidote,noun
postural,adjective
posturing,noun
revelatory,adjective
prostrate,verb
haphazard,adjective
haphazardly,adverb
deficient,adjective
deficiently,adverb
deficit,noun
delicatessen,noun
muscle-bound,adjective
dive,noun
posit,verb
cocoon,verb
chrysalis,noun
ignominious,adjective
ignominiously,adverb
euphoria,noun
euphoric,adjective
euphorically,adverb
relegate,verb
succumb,verb
treacherous,adjective
treacherously,adverb
treachery,noun
maggot,noun
palate,noun
palatable,adjective
hermit,noun
hermetic,adjective
irrelevancy,noun
mariner,noun
rift,noun
mere,adjective
helm,noun
autopilot,noun
eminence,noun
eminent,adjective
preeminent,adjective
mold/mould,verb
unsuspected,adjective
abolish,verb
paralyze/paralyse,verb
paralysis,noun
paralyzingly/paralysingly,adverb
glory in,verb
decentralize/decentralise,verb
preoccupation,noun
preoccupy,verb
prolong,verb
audit,verb
drudgery,noun
pressurize,verb
pressurization,noun
intermediary,noun
hotelier,noun
denote,verb
denotation,noun
profitability,noun
jargon,noun
declination,noun
vocational,adjective
spatial,adjective
spatially,adverb
punctual,adjective
punctuality,noun
integration,noun
curriculum,noun
extracurricular,adjective
encompass,verb
all-encompassing,adjective
accountability,noun
frolic,verb
minefield,noun
side-step,verb
abundant,adjective
abundantly,adverb
abundance,noun
anarchic,adjective
crystallize/crystallise,verb
crystallization/crystallisation,noun
prescriptive,adjective
slab,noun
retrospect,noun
retrospective,adjective
retrospection,noun
wordage,noun
brevity,noun
uncanny,adjective
tactic,noun
tactical,adjective
tactically,adverb
tactile,adjective
gambit,noun
babble,verb
bauble,noun
correlate,noun
correlation,noun
combustion,noun
painstaking,adjective
painstakingly,adverb
contraption,noun
mesh,verb
enabler,noun
fluctuate,verb
fluctuation,noun
lyricist,noun
lyrical,adjective
lyrically,adverb
bona fide,adjective
moribund,adjective
perch,verb
solicit,verb
vocalist,noun
philanthropy,noun
philanthropist,noun
philanthropic,adjective
philanthropically,adverb
precocious,adjective
precociously,adverb
wordsmith,noun
connote,verb
connotation,noun
herald,verb
philistine,noun
innuendo,noun
induce,verb
inducement,noun
anthology,noun
lament,verb
lamentation,noun
conduit,noun
chronology,noun
chronological,adjective
chronologically,adverb
equilibrium,noun
rebound,verb
proposition,noun
flagging,adjective
electrode,noun
caffeinate,verb
cosmic,adjective
interlude,noun
haven,noun
beneficiary,noun
recuperate,verb
recuperation,noun
recuperative,adjective
cultish,adjective
seismic,adjective
irrevocably,adverb
irrevocable,adjective
slither,verb
unnerve,verb
unnerving,adjective
unnervingly,adverb
protrude,verb
protrusion,noun
qualitative,adjective
procedural,adjective
demystify,verb
demystification,noun
proprietary,adjective
proprietorial,adjective
floodgates,noun
imperceptible,adjective
imperceptibly,adverb
hapless,adjective
catastrophic,adjective
catastrophically,adverb
wayward,adjective
blurb,noun
provincial,adjective
indolent,adjective
indolently,adverb
indolence,noun
taste-maker,noun
deviant,noun
deviantly,adverb
engender,verb
emolument,noun
munificence,noun
posterity,noun
venomous,adjective
venomously,adverb
choreography,noun
choreographical,adjective
archetype,noun
archetypal,adjective
dissension,noun
exalted,adjective
exaltedly,adverb
adept,adjective
inert,adjective
hitherto,adverb
angst,noun
angsty,adjective
drabness,noun
melodious,adjective
melodiously,adverb
magpie,noun
lark,noun
melancholy,noun
meteorology,noun
meteorological,adjective
brink,noun
unsurpassed,adjective
loiter,verb
topple,verb
intrinsic,adjective
intrinsically,adverb
merit,noun
promotable,adjective
clinch,verb
anonymity,noun
splinter,verb
reproach,verb
disseminate,verb
dissemination,noun
dissemble,verb
mangle,verb
bereft,adjective
bereftly,adverb
soliloquy,noun
solipsism,noun
soliloquize,verb
mutinous,adjective
mutinously,adverb
prissy,adjective
reptilian,adjective
diminish,verb
undiminishing,adjective
contagion,noun
homestead,noun
computerize/computerise,verb
incumbent,noun
recumbent,adjective
nonchalant,adjective
nonchalantly,adverb
mesmeric,adjective
stultify,verb
stultifyingly,adverb
wallow,verb
ponderous,adjective
ponderously,adverb
lassitude,noun
vicinity,noun
ebb,verb
wax,verb
wane,verb
antediluvian,adjective
ostensible,adjective
ostensibly,adverb
interlocking,adjective
plane,noun
undemonstrative,adjective
undemonstratively,adverb
menace,noun
menacing,adjective
menacingly,adverb
calamity,noun
calamitous,adjective
calamitously,adverb
nigh,adverb
austere,adjective
austerely,adverb
austerity,noun
idiosyncrasy,noun
idiosyncratic,adjective
idiomatic,adjective
idiomatically,adverb
kinetic,adjective
kinetically,adverb
unmediated,adjective
mediate,verb
mediation,noun
unharried,adjective
figurative,adjective
figuratively,adverb
exorcism,noun
exorcist,noun
mundanity,noun
mediocrity,noun
dubiously,adverb
curate,verb
curator,noun
antithesis,noun
antithetical,adjective
parameter,noun
detract,verb
interrogate,verb
interrogation,noun
interrogative,adjective
interrogatively,adverb
perverse,adjective
perversity,noun
attainment,noun
opaque,adjective
opacity,noun
remit,verb
remittance,noun
recourse,noun
pedestal,noun
pedestrian,adjective
lurid,adjective
luridly,adverb
fallacy,noun
rife,adjective
mercenary,noun
polysyllabic,adjective
syllabic,adjective
superfluous,adjective
superfluously,adverb
snippet,noun
practitioner,noun
ephemeral,adjective
ephemera,noun
ephemerality,noun
summarily,adverb
skim,verb
infallibly,adverb
infallible,adjective
infallibility,noun
depravity,noun
depraved,adjective
deprecate,verb
deprecatingly,adverb
revile,verb
revulsion,noun
meager/meagre,adjective
arcane,adjective
arcanely,adverb
porten,noun
divination,noun
flit,verb
hitch,verb
prone,adjective
scavenger,noun
vermin,noun
totemic,adjective
emulate,verb
emulation,noun
avian,adjective
vestigial,adjective
vestigially,adverb
barometer,noun
brouhaha,noun
magnate,noun
magnanimous,adjective
magnanimously,adverb
magnanimity,noun
whirlwind,noun
strait,noun
secular,adjective
secularly,adverb
euphemism,noun
euphemistic,adjective
euphemistically,adverb
condensation,noun
redundant,adjective
redundancy,noun
redundantly,adverb
colloquial,adjective
colloquium,noun
colloquially,adverb
allusion,noun
allude,verb
disparage,verb
disparaging,adjective
disparagingly,adverb
disparagement,noun
huddle,verb
topography,noun
topographical,adjective
topographically,adverb
confabulate,verb
confabulation,noun
surrealist,noun
surrealism,noun
contrive,verb
malice,noun
malicious,adjective
maliciously,adverb
cinematography,noun
cinematographer,noun
maverick,noun
diligent,adjective
diligence,noun
diligently,adverb
turret,noun
impressionistic,adjective
impressionistically,adverb
snobbery,noun
parochial,adjective
gravitate,verb
gravitational,adjective
gravitationally,adverb
consternation,noun
haughty,adjective
haughtily,adverb
axiom,noun
axiomatic,adjective
attrition,noun
enduringly,adverb
reissue,verb
sulphur,noun
sulphuric,adjective
phantom,noun
moor,noun
solitary,adjective
solitariness,noun
solitude,noun
adhere,verb
adhesion,noun
proscribe,verb
proscription,noun
crony,noun
dribble,verb
ingrate,noun
prise,verb
rickety,adjective
consign,verb
consignment,noun
fete,noun
dole out,verb
opulent,adjective
opulence,noun
opulently,adverb
plutocrat,noun
averse,adjective
edify,verb
edification,noun
converse,adjective
sterility,noun
rhetoric,noun
rhetorical,adjective
rhetorically,adverb
flighty,adjective
flightiness,noun
brimstone,noun
impeccable,adjective
impeccably,adverb
romp,verb
romper,noun
meticulous,adjective
meticulously,adverb
ingratiate,verb
ingratiating,adjective
ingratiatingly,adverb
shimmer,verb
hull,noun
cull,verb
swivel,verb
quiver,verb
sandwiched,adjective
mottled,adjective
epoxy,noun
angular,adjective
angularity,noun
dampen,verb
buccaneer,verb
conglomerate,noun
cay,noun
singe,verb
cordon,verb
fabled,adjective
glint,verb
infernal,adjective
infernally,adverb
presentational,adjective
embed,verb
plume,noun
happenstance,noun
venture,noun
reconcile,verb
reconciliation,noun
conciliatory,adjective
conciliation,noun
preconception,noun
baroque,adjective
virginal,adjective
spire,noun
elephantine,adjective
agency,noun
condone,verb
commodity,noun
commode,noun
unobtrusive,adjective
unobtrusively,adverb
unobtrusiveness,noun
compellingly,adverb
hauntingly,adverb
brim,verb
hazard,verb
authenticity,noun
scholarly,adjective
accessibility,noun
cognitive,adjective
artifact,noun
preservationist,noun
qualm,noun
besiege,verb
cloister,noun
cloistered,adjective
annex,noun
resuscitate,verb
resuscitation,noun
ravish,verb
fabricate,verb
fabrication,noun
patchy,adjective
patchily,adverb
resounding,adjective
resoundingly,adverb
resound,verb
ordain,verb
inchoate,adjective
inchoately,adverb
elated,adjective
elation,noun
hysteria,noun
hysterical,adjective
hysterically,adverb
jarring,adjective
suffuse,verb
totter,verb
pyre,noun
contemptuous,adjective
contemptuously,adverb
forlorn,adjective
forlornly,adverb
rebuke,verb
abhorrent,adjective
abhor,verb
abhorrently,adverb
aberration,noun
emulsify,verb
emulsification,noun
emulsifier,noun
additive,noun
confection,noun
proximal,adjective
vandalize,verb
vandal,noun
feign,verb
paradoxical,adjective
paradoxically,adverb
laryngitis,noun
stringent,adjective
astringent,noun
stringently,adverb
standing,noun
economize/economise,verb
breadwinner,noun
cosset,verb
counsel,noun
misdemeanor/misdemanour,noun
aptitude,noun
torrential,adjective
banish,verb
banishment,noun
knack,noun
fruition,noun
tantalize/tantalise,verb
